City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
99,Sa Kaeo,TH,2020-02-24 07:44:45,13.81,102.07,97.72,17,0,4.29,clear sky,0,0
100,Kilindoni,TZ,2020-02-24 07:44:45,-7.91,39.67,85.03,78,88,15.48,light rain,0.13,0
101,Port Alfred,ZA,2020-02-24 07:44:46,-33.59,26.89,69.01,79,0,1.99,clear sky,0,0
102,Codrington,AU,2020-02-24 07:44:46,-38.27,141.97,63.28,85,100,14.7,overcast clouds,0,0
103,Noumea,NC,2020-02-24 07:41:17,-22.28,166.46,84.0,61,40,13.87,scattered clouds,0,0
104,Santo Antonio Do Ica,BR,2020-02-24 07:44:46,-3.1,-67.94,73.22,99,100,2.3,light rain,1.81,0
105,Sinnamary,GF,2020-02-24 07:44:47,5.38,-52.95,78.48,84,100,18.21,light rain,0.25,0
106,Saint-Philippe,RE,2020-02-24 07:44:47,-21.36,55.77,86.0,66,14,8.05,few clouds,0,0
107,Kapaa,US,2020-02-24 07:44:47,22.08,-159.32,73.4,73,40,3.36,scattered clouds,0,0
108,Iqaluit,CA,2020-02-24 07:44:47,63.75,-68.51,-23.01,67,75,2.24,broken clouds,0,0
109,Salmas,IR,2020-02-24 07:40:44,38.2,44.77,41.0,80,25,16.11,scattered clouds,0,0
110,Sergeyevka,KZ,2020-02-24 07:44:48,53.88,67.42,19.09,92,55,7.7,broken clouds,0,0
111,Bathsheba,BB,2020-02-24 07:44:48,13.22,-59.52,78.8,78,20,14.99,few clouds,0,0
112,Valparaiso,CL,2020-02-24 07:44:48,-33.04,-71.63,59.0,93,40,3.78,scattered clouds,0,0
113,Sola,VU,2020-02-24 07:44:48,-13.88,167.55,83.41,77,0,16.08,clear sky,0,0
114,Egvekinot,RU,2020-02-24 07:44:49,66.32,-179.17,-23.8,90,0,2.21,clear sky,0,0
115,Kadom,RU,2020-02-24 07:44:49,54.56,42.47,32.18,95,36,11.07,scattered clouds,0,0
116,Pangody,RU,2020-02-24 07:44:49,65.85,74.49,26.46,87,89,20.47,overcast clouds,0,0
117,Torbat-E Jam,IR,2020-02-24 07:44:50,35.24,60.62,63.86,29,72,12.5,broken clouds,0,0
118,Roald,NO,2020-02-24 07:44:50,62.58,6.13,37.4,86,75,14.99,broken clouds,0,0
119,Olavarria,AR,2020-02-24 07:44:50,-36.89,-60.32,58.71,54,90,9.64,overcast clouds,0,0
120,Hovd,MN,2020-02-24 07:44:50,48.01,91.64,23.97,61,52,5.03,broken clouds,0,0
121,Salalah,OM,2020-02-24 07:44:51,17.02,54.09,80.6,57,10,3.36,clear sky,0,0
122,Avarua,CK,2020-02-24 07:44:51,-21.21,-159.78,77.0,100,100,1.12,overcast clouds,0,0
123,Coihaique,CL,2020-02-24 07:44:51,-45.58,-72.07,53.6,58,90,4.7,overcast clouds,0,0
124,Puerto Ayora,EC,2020-02-24 07:44:51,-0.74,-90.35,77.0,100,74,5.01,broken clouds,0,0
125,Bluff,NZ,2020-02-24 07:44:51,-46.6,168.33,63.0,63,100,3.0,overcast clouds,0,0
126,San Jeronimo,PE,2020-02-24 07:44:52,-11.95,-75.28,42.96,86,70,3.42,light rain,0.19,0
127,Gualeguaychu,AR,2020-02-24 07:44:52,-33.01,-58.52,64.0,81,0,3.0,clear sky,0,0
128,Kaitangata,NZ,2020-02-24 07:44:52,-46.28,169.85,59.0,80,87,3.2,overcast clouds,0,0
129,Saint George,US,2020-02-24 07:44:22,37.1,-113.58,46.4,65,0,4.32,clear sky,0,0
130,Sambava,MG,2020-02-24 07:44:52,-14.27,50.17,89.01,67,32,4.76,light rain,1.25,0
131,Te Anau,NZ,2020-02-24 07:44:53,-45.42,167.72,53.47,81,85,8.28,overcast clouds,0,0
132,Falmouth,GB,2020-02-24 07:44:53,50.15,-5.07,51.01,100,100,33.33,overcast clouds,0,0
133,Ribeira Grande,PT,2020-02-24 07:44:53,38.52,-28.7,57.2,82,40,5.82,scattered clouds,0,0
134,Oxford,GB,2020-02-24 07:44:53,51.75,-1.26,52.0,100,75,18.34,broken clouds,0,0
135,Agirish,RU,2020-02-24 07:44:53,61.92,63.02,29.26,77,100,18.16,overcast clouds,0,0
136,Bikin,RU,2020-02-24 07:44:54,46.82,134.26,17.31,97,99,5.1,light snow,0,0.19
137,Goderich,CA,2020-02-24 07:44:54,43.75,-81.72,39.0,75,100,7.31,overcast clouds,0,0
138,Aklavik,CA,2020-02-24 07:44:54,68.22,-135.01,-5.8,76,90,3.36,light snow,0,0
139,Chuy,UY,2020-02-24 07:44:54,-33.7,-53.46,62.65,85,0,7.09,clear sky,0,0
140,Anadyr,RU,2020-02-24 07:44:54,64.75,177.48,-11.2,69,65,6.71,broken clouds,0,0
141,Duma,CN,2020-02-24 07:44:55,34.77,108.14,69.8,30,0,8.95,clear sky,0,0
142,Kodiak,US,2020-02-24 07:44:55,57.79,-152.41,24.8,45,1,14.99,clear sky,0,0
143,Mardin,TR,2020-02-24 07:44:55,37.31,40.74,57.2,58,0,6.93,clear sky,0,0
144,Gravelbourg,CA,2020-02-24 07:44:55,49.88,-106.55,20.77,83,100,9.71,overcast clouds,0,0
145,Victoria,HK,2020-02-24 07:44:24,22.29,114.16,77.0,57,20,17.22,few clouds,0,0
146,Hithadhoo,MV,2020-02-24 07:44:56,-0.6,73.08,83.21,78,11,11.92,light rain,0.88,0
147,Verkhnyaya Inta,RU,2020-02-24 07:44:56,65.98,60.31,27.61,78,100,10.8,overcast clouds,0,0
148,Xichang,CN,2020-02-24 07:44:56,27.9,102.26,55.08,37,0,14.05,clear sky,0,0
149,Manokwari,ID,2020-02-24 07:44:56,-0.87,134.08,75.63,89,100,3.38,light rain,1.06,0
150,Labuhan,ID,2020-02-24 07:44:56,-6.88,112.21,82.9,83,85,8.55,moderate rain,8.19,0
151,Bubaque,GW,2020-02-24 07:44:57,11.28,-15.83,80.46,67,59,5.37,broken clouds,0,0
152,College,US,2020-02-24 07:44:57,64.86,-147.8,-11.2,75,1,2.33,clear sky,0,0
153,East London,ZA,2020-02-24 07:44:57,-33.02,27.91,69.8,56,0,3.36,clear sky,0,0
154,Mana,GF,2020-02-24 07:44:57,5.66,-53.78,74.59,92,100,2.93,light rain,0.19,0
155,Luderitz,NA,2020-02-24 07:44:58,-26.65,15.16,66.42,79,0,17.29,clear sky,0,0
156,Tuatapere,NZ,2020-02-24 07:44:58,-46.13,167.68,63.0,63,87,3.0,overcast clouds,0,0
157,Dunedin,NZ,2020-02-24 07:44:58,-45.87,170.5,59.0,80,43,7.87,scattered clouds,0,0
158,Sorland,NO,2020-02-24 07:44:58,67.67,12.69,32.0,60,40,18.34,shower rain,0,0
159,Vao,NC,2020-02-24 07:44:59,-22.67,167.48,78.98,73,36,14.14,scattered clouds,0,0
160,Duvan,RU,2020-02-24 07:44:59,55.7,57.9,29.28,96,100,13.65,light snow,0,1
161,Durango,MX,2020-02-24 07:44:59,24.83,-104.83,49.01,77,64,5.64,broken clouds,0,0
162,Cabo San Lucas,MX,2020-02-24 07:42:25,22.89,-109.91,63.0,75,31,8.21,scattered clouds,0,0
163,Nikolskoye,RU,2020-02-24 07:44:59,59.7,30.79,35.01,86,90,11.18,shower sleet,0,0
164,Puerto Colombia,CO,2020-02-24 07:45:00,10.99,-74.95,77.0,83,20,13.87,few clouds,0,0
165,Acapulco,MX,2020-02-24 07:44:03,16.86,-99.89,78.8,83,5,2.95,clear sky,0,0
166,Sangar,RU,2020-02-24 07:45:00,63.92,127.47,-9.08,94,100,3.78,overcast clouds,0,0
167,Skovorodino,RU,2020-02-24 07:45:00,53.98,123.92,16.05,81,63,4.07,broken clouds,0,0
168,Bosaso,SO,2020-02-24 07:45:01,11.28,49.18,80.6,74,20,14.99,few clouds,0,0
169,Los Llanos De Aridane,ES,2020-02-24 07:45:01,28.66,-17.92,71.6,53,100,11.41,haze,0,0
170,Matara,LK,2020-02-24 07:45:01,5.95,80.54,92.05,50,100,11.34,overcast clouds,0,0
171,The Pas,CA,2020-02-24 07:45:01,53.83,-101.25,23.0,79,90,8.05,overcast clouds,0,0
172,Coffs Harbour,AU,2020-02-24 07:45:01,-30.3,153.13,75.2,78,90,4.7,overcast clouds,0,0
173,Georgetown,MY,2020-02-24 07:44:33,5.41,100.34,91.4,66,20,11.41,few clouds,0,0
174,Paignton,GB,2020-02-24 07:45:02,50.44,-3.57,52.0,91,100,17.0,light rain,0,0
175,Margate,GB,2020-02-24 07:45:02,51.38,1.39,51.01,100,100,26.4,light rain,0,0
176,Lazaro Cardenas,MX,2020-02-24 07:45:02,17.96,-102.2,70.2,93,20,4.14,few clouds,0,0
177,Kurchum,KZ,2020-02-24 07:45:03,48.57,83.65,18.55,87,94,3.22,overcast clouds,0,0
178,Kununurra,AU,2020-02-24 07:45:03,-15.77,128.73,104.0,15,100,10.29,overcast clouds,0,0
179,Krasnoselkup,RU,2020-02-24 07:45:03,65.7,82.47,26.28,88,100,22.77,light snow,0,0.19
180,Port Macquarie,AU,2020-02-24 07:40:44,-31.43,152.92,75.2,78,90,2.24,overcast clouds,0,0
181,Khandyga,RU,2020-02-24 07:45:04,62.67,135.6,-6.03,99,100,1.48,overcast clouds,0,0
182,Clyde River,CA,2020-02-24 07:45:04,70.47,-68.59,-14.8,75,90,18.34,light snow,0,0
183,Maceio,BR,2020-02-24 07:40:18,-9.67,-35.74,77.0,94,40,5.82,scattered clouds,0,0
184,Ruteng,ID,2020-02-24 07:45:04,-8.61,120.47,77.81,70,30,4.94,scattered clouds,0,0
185,Houma,US,2020-02-24 07:45:04,29.6,-90.72,57.2,93,75,3.36,broken clouds,0,0
186,Kalavad,IN,2020-02-24 07:45:05,22.22,70.38,87.8,33,0,10.29,clear sky,0,0
187,Alofi,NU,2020-02-24 07:45:05,-19.06,-169.92,78.8,94,100,4.7,overcast clouds,0,0
188,Hasaki,JP,2020-02-24 07:45:05,35.73,140.83,61.0,47,20,11.41,few clouds,0,0
189,Kiama,AU,2020-02-24 07:45:05,-34.68,150.87,78.8,61,15,12.75,few clouds,0,0
190,Necochea,AR,2020-02-24 07:45:05,-38.55,-58.74,61.0,80,0,14.0,clear sky,0,0
191,Uige,AO,2020-02-24 07:45:06,-7.61,15.06,69.69,93,100,1.12,light rain,0.44,0
192,Sint-Gillis-Waas,BE,2020-02-24 07:45:06,51.23,4.12,43.0,80,90,4.7,light intensity shower rain,0,0
193,Poltavka,RU,2020-02-24 07:45:06,54.37,71.76,11.43,93,68,5.3,broken clouds,0,0
194,Gimli,CA,2020-02-24 07:45:06,50.63,-96.99,19.0,88,34,6.13,scattered clouds,0,0
195,Roebourne,AU,2020-02-24 07:45:07,-20.78,117.13,98.53,29,100,16.04,overcast clouds,0,0
196,San Quintin,MX,2020-02-24 07:45:07,30.48,-115.95,55.78,90,0,10.83,clear sky,0,0
197,Guerrero Negro,MX,2020-02-24 07:45:07,27.98,-114.06,57.7,87,92,13.87,overcast clouds,0,0
198,Khatanga,RU,2020-02-24 07:41:59,71.97,102.5,18.41,87,100,19.17,overcast clouds,0,0
199,Kenai,US,2020-02-24 07:45:07,60.55,-151.26,0.0,77,1,8.37,clear sky,0,0
200,Tambura,SS,2020-02-24 07:45:08,5.6,27.47,98.67,8,0,9.1,clear sky,0,0
201,Sitka,US,2020-02-24 07:45:08,57.05,-135.33,30.2,86,75,5.82,light snow,0,0
202,Ferrol,ES,2020-02-24 07:45:08,43.48,-8.24,52.0,100,90,4.7,fog,0,0
203,Ushtobe,KZ,2020-02-24 07:45:08,45.25,77.98,39.51,78,99,2.86,overcast clouds,0,0
204,Eureka,US,2020-02-24 07:45:08,40.8,-124.16,44.6,93,1,2.42,clear sky,0,0
205,Yokadouma,CM,2020-02-24 07:45:09,3.52,15.05,90.03,19,85,3.06,overcast clouds,0,0
206,Qaanaaq,GL,2020-02-24 07:45:09,77.48,-69.36,-14.13,49,0,5.39,clear sky,0,0
207,Murray Bridge,AU,2020-02-24 07:45:09,-35.12,139.27,84.99,51,34,1.99,scattered clouds,0,0
208,General Pico,AR,2020-02-24 07:45:09,-35.66,-63.76,62.29,48,0,8.99,clear sky,0,0
209,Jiuquan,CN,2020-02-24 07:45:09,39.74,98.52,37.54,29,0,4.52,clear sky,0,0
210,Faya,SA,2020-02-24 07:45:10,18.39,42.45,71.6,37,0,9.17,clear sky,0,0
211,Talnakh,RU,2020-02-24 07:45:10,69.49,88.4,17.6,92,75,31.32,broken clouds,0,0
212,Lipin Bor,RU,2020-02-24 07:45:10,60.26,37.98,33.1,95,97,7.23,light snow,0,0.13
213,Jumla,NP,2020-02-24 07:45:10,29.27,82.18,51.01,95,34,5.59,scattered clouds,0,0
214,Carson City,US,2020-02-24 07:45:07,39.16,-119.77,39.0,79,1,4.47,clear sky,0,0
215,Satipo,PE,2020-02-24 07:45:11,-11.25,-74.64,60.64,97,86,0.4,overcast clouds,0,0
216,Vila,PT,2020-02-24 07:45:11,42.03,-8.16,53.01,81,0,6.93,clear sky,0,0
217,San Rafael,AR,2020-02-24 07:45:11,-34.62,-68.33,65.7,44,0,4.21,clear sky,0,0
218,Okhotsk,RU,2020-02-24 07:45:11,59.38,143.3,-8.7,79,99,4.56,overcast clouds,0,0
219,Aswan,EG,2020-02-24 07:45:11,24.09,32.91,63.95,29,100,7.67,overcast clouds,0,0
220,Narsaq,GL,2020-02-24 07:45:12,60.92,-46.05,23.0,73,100,3.36,light snow,0,0
221,Gorontalo,ID,2020-02-24 07:45:12,0.54,123.06,84.22,68,21,2.93,few clouds,0,0
222,Caravelas,BR,2020-02-24 07:45:12,-17.71,-39.25,79.25,84,82,10.76,light rain,2.13,0
223,Souillac,MU,2020-02-24 07:45:12,-20.52,57.52,86.0,66,40,5.82,scattered clouds,0,0
224,Watertown,US,2020-02-24 07:43:50,42.37,-71.18,37.4,69,1,4.7,clear sky,0,0
225,Airai,TL,2020-02-24 07:45:13,-8.93,125.41,74.8,85,59,1.1,light rain,1.94,0
226,Tiznit,MA,2020-02-24 07:45:13,29.58,-9.5,64.56,15,91,11.63,overcast clouds,0,0
227,Yar-Sale,RU,2020-02-24 07:45:13,66.83,70.83,26.83,86,99,26.78,overcast clouds,0,0
228,Camacupa,AO,2020-02-24 07:40:38,-12.02,17.48,67.71,92,100,4.41,overcast clouds,0,0
229,Port-Cartier,CA,2020-02-24 07:45:14,50.03,-66.87,30.2,86,90,10.29,overcast clouds,0,0
230,Kibala,TD,2020-02-24 07:45:14,9.11,18.35,77.0,20,0,4.7,clear sky,0,0
231,Kota Belud,MY,2020-02-24 07:45:14,6.35,116.43,86.0,70,20,10.29,few clouds,0,0
232,Bom Jesus,BR,2020-02-24 07:45:03,-9.07,-44.36,70.23,96,64,0.58,light rain,1.38,0
233,Zhigansk,RU,2020-02-24 07:45:14,66.77,123.37,-2.81,95,100,15.03,overcast clouds,0,0
234,Saint-Augustin,CA,2020-02-24 07:45:15,51.23,-58.65,8.74,82,100,9.98,overcast clouds,0,0
235,Pevek,RU,2020-02-24 07:45:15,69.7,170.31,-21.35,93,0,8.01,clear sky,0,0
236,Lakes Entrance,AU,2020-02-24 07:45:15,-37.88,147.98,73.0,91,100,1.99,moderate rain,3.44,0
237,Sao Raimundo Nonato,BR,2020-02-24 07:45:15,-9.02,-42.7,70.99,97,8,0.72,light rain,0.88,0
238,Mount Isa,AU,2020-02-24 07:45:15,-20.73,139.5,84.2,74,75,6.93,broken clouds,0,0
239,Lebu,CL,2020-02-24 07:45:15,-37.62,-73.65,51.42,95,23,5.84,few clouds,0,0
240,Hamilton,US,2020-02-24 07:45:16,39.18,-84.53,42.01,80,1,4.34,clear sky,0,0
241,Tungor,RU,2020-02-24 07:45:16,53.38,142.96,-2.45,98,100,6.06,overcast clouds,0,0
242,Nantucket,US,2020-02-24 07:45:16,41.28,-70.1,39.0,100,1,5.82,clear sky,0,0
243,Atar,MR,2020-02-24 07:45:16,20.52,-13.05,81.03,12,100,20.89,overcast clouds,0,0
244,Haapiti,PF,2020-02-24 07:45:16,-17.57,-149.87,78.8,83,40,3.36,scattered clouds,0,0
245,Changji,CN,2020-02-24 07:45:17,44.02,87.32,35.6,64,100,6.71,overcast clouds,0,0
246,Esperance,AU,2020-02-24 07:45:17,-33.87,121.9,75.2,64,37,21.92,scattered clouds,0,0
